run_n,run_seed,ndims,nsamples,correlation,nbijectors,bijector,spline_knots,range_min,hidden_layers,batch_size,activation,eps_regulariser,regulariser,dist_seed,test_seed
1,0,4,100000,corr,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
2,0,4,100000,corr,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
3,0,4,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
4,0,4,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
5,0,4,100000,corr,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
6,0,4,100000,corr,5,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
7,0,4,100000,corr,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
8,0,4,100000,corr,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
9,0,4,100000,corr,10,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
10,0,4,100000,corr,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
11,0,4,100000,corr,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
12,0,4,100000,corr,10,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
13,0,8,100000,corr,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
14,0,8,100000,corr,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
15,0,8,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
16,0,8,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
17,0,8,100000,corr,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
18,0,8,100000,corr,5,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
19,0,8,100000,corr,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
20,0,8,100000,corr,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
21,0,8,100000,corr,10,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
22,0,8,100000,corr,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
23,0,8,100000,corr,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
24,0,8,100000,corr,10,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
25,0,16,100000,corr,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
26,0,16,100000,corr,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
27,0,16,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
28,0,16,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
29,0,16,100000,corr,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
30,0,16,100000,corr,5,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
31,0,16,100000,corr,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
32,0,16,100000,corr,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
33,0,16,100000,corr,10,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
34,0,16,100000,corr,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
35,0,16,100000,corr,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
36,0,16,100000,corr,10,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
37,0,32,100000,corr,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
38,0,32,100000,corr,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
39,0,32,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
40,0,32,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
41,0,32,100000,corr,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
42,0,32,100000,corr,5,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
43,0,32,100000,corr,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
44,0,32,100000,corr,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
45,0,32,100000,corr,10,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
46,0,32,100000,corr,10,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
47,0,32,100000,corr,10,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
48,0,32,100000,corr,10,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
49,0,64,100000,corr,5,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
50,0,64,100000,corr,5,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
51,0,64,100000,corr,5,CsplineN,8,-16,512-512-512,512,relu,0,,0,0
52,0,64,100000,corr,5,CsplineN,12,-16,128-128-128,512,relu,0,,0,0
53,0,64,100000,corr,5,CsplineN,12,-16,256-256-256,512,relu,0,,0,0
54,0,64,100000,corr,5,CsplineN,12,-16,512-512-512,512,relu,0,,0,0
55,0,64,100000,corr,10,CsplineN,8,-16,128-128-128,512,relu,0,,0,0
56,0,64,100000,corr,10,CsplineN,8,-16,256-256-256,512,relu,0,,0,0
